abide,respecter,32
about,sur,380
above,au dessus,133
abroad,ã  l'ã©tranger,38
absence,absence,44
abuse,abuser de,36
according,selon,44
account,compte,37
accuse,accuser,34
acquainted,connaissance,37
action,action,89
advantage,avantage,59
advice,conseil,32
affairs,affaires,51
affection,affection,57
affections,affections,36
afraid,peur,30
after,aprã¨s,371
afterwards,ensuite,33
again,encore,456
alive,vivant,57
almost,presque,161
alone,seul,138
along,le long de,79
already,dã©jã ,101
although,bien que,79
always,toujours,62
ambition,ambition,38
ancient,ancien,71
angel,ange,43
anger,colã¨re,38
another,un autre,376
answer,rã©pondre,310
anything,n'importe quoi,78
apparel,vãªtements,36
appear,apparaã®tre,109
appears,apparaã®t,46
approach,approche,50
argument,argument,50
ariel,ariel,11
armour,armure,35
aside,de cã´tã©,427
asleep,endormi,38
assure,assurer,49
athens,athã¨nes,30
attend,assister,107
attended,assistã©,32
authority,autoritã©,41
avoid,ã©viter,33
awake,ã©veillã©,65
awhile,quelque temps,55
banish,bannir,35
barren,dã©nudã©,36
bassianus,bassianus,10
bastard,connard,38
battle,bataille,89
beard,barbe,67
bearing,palier,67
bears,ours,99
beast,la bãªte,54
beaten,battu,38
beauty,beautã©,181
because,car,187
become,devenir,137
bedford,bedford,22
before,avant,766
beggar,mendiant,39
begin,commencer,86
behalf,nom,32
behind,derriã¨re,95
behold,voir,153
being,ã©tant,660
believe,croyez,227
belike,ãªtre comme,39
below,au dessous de,45
benefit,avantage,32
besides,outre,108
betray,trahir,37
better,mieux,537
between,entre,234
beyond,au-delã ,59
birth,naissance,66
bishop,ã©vãªque,43
bitter,amer,69
black,noir,152
blame,faire des reproches,66
bless,bã©nir,105
blessing,bã©nã©diction,36
blest,heureux,48
blind,aveugle,67
blood,du sang,512
blows,coups,57
blunt,cru,30
blush,rougir,42
bodies,corps,37
bones,des os,60
borne,supportã©,72
bottom,bas,14
bought,achetã©,45
bound,liã©,151
bounty,prime,36
brain,cerveau,62
brains,cerveaux,34
brave,courageux,156
breast,sein,73
breath,souffle,162
breed,race,46
brief,bref,73
bright,brillant,60
bring,apporter,440
broke,cassã©,80
brook,ruisseau,59
brother,frã¨re,448
brought,apportã©,193
brows,sourcils,37
burden,fardeau,37
buried,enterrã©,45
burning,brã»lant,40
business,entreprise,172
cannot,ne peux pas,752
capitol,capitole,21
captain,capitaine,14
cardinal,cardinal,1
cares,se soucie,30
carry,porter,81
castle,chã¢teau,44
catch,capture,62
cause,cause,262
cease,cesser,40
certain,certain,146
chain,chaã®ne,44
chair,chaise,29
challenge,dã©fi,38
chamber,chambre,70
chance,chance,93
change,changement,135
charge,charge,158
charity,charitã©,38
chaste,chaste,35
cheek,joue,57
cheer,acclamation,57
chide,gronder,46
chief,chef,107
child,enfant,12
choice,choix,46
church,ã©glise,42
cinna,cinna,11
citizen,citoyenne,2
civil,civil,48
claim,prã©tendre,56
clarence,clartã©,2
claudio,claudio,49
clear,clair,55
clifford,clifford,14
close,proche,83
cloten,cailloter,6
clothes,vãªtements,29
clouds,des nuages,55
clown,pitre,1
college,universitã©,1
colour,couleur,57
comes,vient,550
comfort,confort,154
coming,venir,107
cominius,cominius,6
command,commander,132
commanded,commandã©,31
commend,saluer,87
commercial,commercial,220
commission,commission,34
commit,commettre,36
common,commun,141
companion,un compagnon,30
company,entreprise,112
complete,achevã©e,245
complexion,complexion,31
condition,ã©tat,47
conduct,conduite,44
confess,avouer,116
conscience,conscience,105
consent,consentement,83
consider,considã©rer,44
constable,gendarme,21
constant,constant,44
contempt,mã©pris,34
content,contenu,107
contrary,contraire,29
copies,copies,442
copyright,droits d'auteur,228
could,pourrait,615
council,conseil,38
counsel,conseil,97
count,compter,90
counterfeit,contrefaire,38
countess,comtesse,20
country,pays,113
courage,courage,57
course,cours,126
court,tribunal,104
courtesy,courtoisie,38
cousin,cousin,216
coward,lã¢che,71
crave,demander,42
creature,crã©ature,55
credit,crã©dit,41
cromwell,cromwell,17
cross,traverser,55
crown,couronne,186
cruel,cruel,66
cunning,ruse,68
cupid,cupidon,8
curse,malã©diction,84
custom,douane,34
dagger,dague,33
damned,damnã©,44
dance,danse,52
danger,danger,74
darkness,obscuritã©,32
daughter,fille,298
deadly,mortel,45
dearest,trã¨s cher,54
dearly,chã¨rement,31
death,dã©cã¨s,588
deeds,actes,95
defend,dã©fendre,64
degree,diplã´me,34
delight,dã©lice,45
deliver,livrer,94
demand,demande,44
denied,refusã©,44
depart,partir,51
desert,dã©sert,36
deserve,mã©riter,58
desire,le dã©sir,189
despair,dã©sespoir,40
desperate,dã©sespã©rã©,44
despite,malgrã©,48
device,dispositif,31
devil,diable,176
devise,concevoir,40
didst,didst,181
dinner,dã®ner,37
discourse,discours,48
discover,dã©couvrir,34
disgrace,disgrã¢ce,41
dishonour,dã©shonorer,36
dispatch,envoi,44
displeasure,mã©contentement,28
disposition,disposition,36
distributed,distribuã©,441
divine,divin,43
doctor,docteur,6
doing,faire,57
dolabella,dolabella,2
doors,des portes,48
double,double,76
doubt,doute,152
download,tã©lã©charger,220
dramatis,dramatis,36
drawn,tirã©,73
dread,crainte,45
dreadful,horrible,58
dream,rãªver,52
dreams,rãªves,37
drink,boisson,132
drops,gouttes,48
drown,noyer,40
drums,tambours,36
drunk,ivre,50
duncan,duncan,17
durst,durst,50
dwell,habiter,35
dying,en train de mourir,41
early,de bonne heure,42
earth,terre,231
edmund,edmund,54
effect,effet,56
egypt,egypte,26
either,soit,158
elbow,coude,5
elder,aã®nã©,33
embrace,embrasse,63
emilia,ã‰milie,3
emperor,empereur,43
empty,vide,41
encounter,rencontre,47
endure,supporter,67
enemies,ennemis,62
enemy,ennemi,105
enjoy,prendre plaisir,41
enobarbus,ã©nobarbus,5
enough,assez,218
enter,entrer,2080
entertain,divertir,37
entertainment,divertissement,26
entreat,supplier,105
equal,ã©gal,43
estate,biens,37
eternal,ã©ternel,34
every,chaque,491
everything,tout,40
excellent,excellent,107
except,sauf,36
excuse,excuse,62
execution,exã©cution,35
exeter,exeter,6
exeunt,sortir,885
express,express,33
faces,visages,32
faint,perdre connaissance,31
fairy,fã©e,50
faith,foi,340
falls,des chutes,67
false,faux,259
familiar,familier,35
fancy,fantaisie,36
farewell,adieu,207
farther,plus loin,31
fashion,mode,82
fatal,fatal,41
father,pã¨re,651
fault,faute,129
favour,favoriser,95
fearful,craintif,83
fears,peurs,62
feast,le banquet,76
feeble,faible,23
fellow,compagnon,231
fenton,fenton,17
ferdinand,ferdinand,18
fetch,chercher,121
field,champ,115
fiend,dã©mon,54
fierce,fã©roce,38
fiery,ardent,45
fight,bats toi,216
figure,figure,33
finds,trouve,40
finger,doigt,53
first,premiã¨re,1091
flatter,flatter,40
flesh,la chair,106
flies,mouches,45
flight,vol,39
flood,inonder,34
flourish,fleurir,54
flower,fleur,33
flowers,fleurs,33
follow,suivre,264
folly,folie,57
foolish,insensã©,90
fools,imbã©ciles,98
forbear,ancãªtre,42
forbid,interdire,68
force,obliger,97
forces,les forces,39
forest,forãªt,64
forget,oublier,83
former,ancien,60
forsooth,en vã©ritã©,30
forth,en avant,291
fortune,fortune,273
forward,vers l'avant,72
fought,combattu,58
found,a trouvã©,199
fourth,quatriã¨me,6
frame,cadre,43
france,france,17
freely,librement,44
french,franã§ais,70
fresh,frais,82
friend,ami,304
frown,froncer les sourcils,36
fruit,fruit,30
further,plus loin,141
gallant,galant,50
garden,jardin,40
gates,portes,79
gaunt,dã©charnã©,19
general,gã©nã©ral,168
gentle,doux,358
ghost,fantã´me,45
given,donnã©,184
giving,donnant,58
glass,verre,50
glorious,glorieux,37
glory,gloire,75
going,aller,85
golden,d'or,91
goodness,la bontã©,48
gower,gower,1
grace,la grã¢ce,472
grant,subvention,102
grave,la tombe,116
great,gã©nial,870
green,vert,27
greet,saluer,41
grief,douleur,169
grieve,pleurer,38
gross,brut,51
ground,sol,109
grown,grandi,56
guard,garde,96
guess,devine,40
guilty,coupable,65
habit,habitude,36
hands,mains,242
hanging,pendaison,32
hangs,bloque,36
happiness,bonheur,50
happy,heureux,192
haste,hã¢te,109
hateful,odieux,38
having,ayant,150
hazard,danger,34
heads,tãªtes,90
health,santã©,86
heard,entendu,324
heart,cå“ur,764
heaven,paradis,551
heavy,lourd,151
hector,hector,9
heels,talons,45
hence,par consã©quent,269
henceforth,dã©sormais,40
hereafter,ci-aprã¨s, par la suite,29
herself,se,72
highness,altesse,164
holds,tient,81
hollow,creux,44
honest,honnãªte,245
horse,cheval,168
hostess,hã´tesse,6
hours,heures,126
house,maison,389
hubert,hubert,5
humble,humble,58
humour,humour,72
hundred,cent,110
husband,mari,210
ignorant,ignorant,46
image,image,46
includes,comprend,223
indeed,en effet,347
infinite,infini,35
innocent,innocent,45
instant,instant,51
intend,avoir l'intention,49
intent,intention,38
issue,problã¨me,91
itself,lui-mãªme,187
jealous,jaloux,41
jewel,bijou,47
judge,juge,75
judgment,jugement,81
julia,julia,22
justice,justice,81
keeps,garde,72
kindness,la gentillesse,38
kingdom,royaume,71
kings,rois,244
knave,fripon,128
kneel,s'agenouiller,50
knees,les genoux,43
knife,couteau,39
knight,chevalier,83
knock,frappe,66
knowing,connaissance,45
knowledge,connaissance,66
known,connu,159
knows,sait,205
labour,la main d'oeuvre,59
ladies,dames,2
ladyship,madame,22
lands,terres,48
large,grand,62
laugh,rire,75
launce,lancer,1
lawful,lã©gitime,56
learn,apprendre,82
learned,appris,44
least,moins,89
leave,laisser,584
leisure,loisir,46
leontes,leontes,2
letter,lettre,176
liberty,libertã©,45
library,bibliothã¨que,227
liege,liege,99
lieutenant,lieutenant,26
light,lumiã¨re,213
limbs,membres,38
little,peu,441
lives,vies,167
living,vivant,105
longer,plus long,87
looks,regards,184
loose,ample,42
lords,seigneurs,16
lordship,seigneurie,83
lorenzo,lorenzo,7
lovely,charmant,52
lovers,les amoureux,72
loves,aime,262
loving,aimant,113
lucentio,lucentio,15
machine,machine,223
madness,la dã©mence,46
maiden,jeune fille,40
maids,servantes,44
maintain,maintenir,38
majesty,majestã©,183
makes,fait du,351
making,fabrication,77
malice,malice,59
manner,maniã¨re,68
march,mars,58
marcius,marcius,56
marcus,marcus,8
margaret,margaret,3
maria,maria,2
mariana,mariana,5
marriage,mariage,78
marry,marier,351
master,maã®tre,663
match,rencontre,62
matter,matiã¨re,205
meaning,sens,40
means,veux dire,238
meant,signifiait,43
measure,mesure,39
meeting,rã©union,42
memory,mã©moire,51
merchant,marchande,4
mercy,pitiã©,142
merit,mã©rite,39
merry,joyeux,139
messenger,messager,8
midnight,minuit,32
might,pourrait,480
mighty,puissant,107
milan,milan,24
minds,esprits,60
minister,ministre,31
miranda,miranda,2
mirth,gaietã©,36
mischief,sottises,31
misery,misã¨re,30
mistake,erreur,33
mistress,maã®tresse,381
modest,modeste,33
money,argent,133
monster,monstre,48
month,mois,33
morning,matin,88
